Year,Jurisdiction,Category,Stream,Management,Fate,Tonnes,Core or non-core
"2017-2018","Qld","Hazardous wastes","C&I","Treatment","Recycling","68727.599696803","Core waste"
"2017-2018","Qld","Metals","C&D","Landfill","Disposal","15238","Core waste"
"2017-2018","Qld","Metals","C&D","Recycling","Recycling","365842","Core waste"
"2017-2018","Qld","Metals","C&I","Landfill","Disposal","50346","Core waste"
"2017-2018","Qld","Metals","C&I","Recycling","Recycling","541654","Core waste"
"2017-2018","Qld","Metals","MSW","Landfill","Disposal","73834","Core waste"
"2017-2018","Qld","Metals","MSW","Recycling","Recycling","59375","Core waste"
"2017-2018","Qld","Organics","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Qld","Organics","C&D","Landfill","Disposal","151078","Core waste"
"2017-2018","Qld","Organics","C&D","Landfill","Energy recovery","8093","Core waste"
"2017-2018","Qld","Organics","C&D","Recycling","Recycling","30032","Core waste"
"2017-2018","Qld","Organics","C&I","Energy from waste facility","Energy recovery","8415","Core waste"
"2017-2018","Qld","Organics","C&I","Landfill","Disposal","516127","Core waste"
"2017-2018","Qld","Organics","C&I","Landfill","Energy recovery","84066","Core waste"
"2017-2018","Qld","Organics","C&I","Recycling","Recycling","431250","Core waste"
"2017-2018","Qld","Organics","MSW","Energy from waste facility","Energy recovery","32121","Core waste"
"2017-2018","Qld","Organics","MSW","Landfill","Disposal","825947","Core waste"
"2017-2018","Qld","Organics","MSW","Landfill","Energy recovery","175027","Core waste"
"2017-2018","Qld","Organics","MSW","Recycling","Recycling","489382","Core waste"
"2017-2018","Qld","Paper & cardboard","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Qld","Paper & cardboard","C&D","Landfill","Disposal","52154","Core waste"
"2017-2018","Qld","Paper & cardboard","C&D","Landfill","Energy recovery","7536","Core waste"
"2017-2018","Qld","Paper & cardboard","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Qld","Paper & cardboard","C&I","Landfill","Disposal","205786","Core waste"
"2017-2018","Qld","Paper & cardboard","C&I","Landfill","Energy recovery","29733","Core waste"
"2017-2018","Qld","Paper & cardboard","C&I","Recycling","Recycling","313770","Core waste"
"2017-2018","Qld","Paper & cardboard","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Qld","Paper & cardboard","MSW","Landfill","Disposal","201237","Core waste"
"2017-2018","Qld","Paper & cardboard","MSW","Landfill","Energy recovery","29076","Core waste"
"2017-2018","Qld","Paper & cardboard","MSW","Recycling","Recycling","317812","Core waste"
"2017-2018","Qld","Plastics","C&D","Landfill","Disposal","35154","Core waste"
"2017-2018","Qld","Plastics","C&D","Recycling","Recycling","2222","Core waste"
"2017-2018","Qld","Plastics","C&I","Landfill","Disposal","294730","Core waste"
"2017-2018","Qld","Plastics","C&I","Recycling","Recycling","33559","Core waste"
"2017-2018","Qld","Plastics","MSW","Landfill","Disposal","260853","Core waste"
"2017-2018","Qld","Plastics","MSW","Recycling","Recycling","13739","Core waste"
"2017-2018","Qld","Textiles, leather & rubber (excl. tyres)","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Qld","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Disposal","0","Core waste"
"2017-2018","Qld","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Energy recovery","0","Core waste"
"2017-2018","Qld","Textiles, leather & rubber (excl. tyres)","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Qld","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Disposal","99761","Core waste"
"2017-2018","Qld","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Energy recovery","14200","Core waste"
"2017-2018","Qld","Textiles, leather & rubber (excl. tyres)","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Qld","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Disposal","38772","Core waste"
"2017-2018","Qld","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Energy recovery","5519","Core waste"
"2017-2018","Qld","Unclassified materials","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Qld","Unclassified materials","C&D","Landfill","Disposal","0","Core waste"
"2017-2018","Qld","Unclassified materials","C&D","Landfill","Energy recovery","0","Core waste"
"2017-2018","Qld","Unclassified materials","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","Qld","Unclassified materials","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Qld","Unclassified materials","C&I","Landfill","Disposal","0","Core waste"
"2017-2018","Qld","Unclassified materials","C&I","Landfill","Energy recovery","0","Core waste"
"2017-2018","Qld","Unclassified materials","C&I","Recycling","Recycling","0","Core waste"
"2017-2018","Qld","Unclassified materials","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Qld","Unclassified materials","MSW","Landfill","Disposal","0","Core waste"
"2017-2018","Qld","Unclassified materials","MSW","Landfill","Energy recovery","0","Core waste"
"2017-2018","Qld","Unclassified materials","MSW","Recycling","Recycling","15123","Core waste"
"2017-2018","SA","Ash","C&I","Other disposal","Long-term storage","0","Non-core waste"
"2017-2018","SA","Ash","C&I","Recycling","Recycling","0","Non-core waste"
"2017-2018","SA","Biosolids","C&I","Other disposal","Disposal","1148.33333333333","Core waste"
"2017-2018","SA","Biosolids","C&I","Recycling","Recycling","175970.714285714","Core waste"
"2017-2018","SA","Building and demolition materials","C&D","Landfill","Disposal","88935","Core waste"
"2017-2018","SA","Building and demolition materials","C&D","Recycling","Recycling","1339746","Core waste"
"2017-2018","SA","Building and demolition materials","C&I","Landfill","Disposal","12093","Core waste"
"2017-2018","SA","Building and demolition materials","C&I","Recycling","Recycling","9900","Core waste"
"2017-2018","SA","Building and demolition materials","MSW","Landfill","Disposal","10334","Core waste"
"2017-2018","SA","Building and demolition materials","MSW","Recycling","Recycling","10723","Core waste"
"2017-2018","SA","Glass","C&D","Landfill","Disposal","334","Core waste"
"2017-2018","SA","Glass","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","SA","Glass","C&I","Landfill","Disposal","1945","Core waste"
"2017-2018","SA","Glass","C&I","Recycling","Recycling","22128","Core waste"
"2017-2018","SA","Glass","MSW","Landfill","Disposal","13492","Core waste"
"2017-2018","SA","Glass","MSW","Recycling","Recycling","37678","Core waste"
"2017-2018","SA","Hazardous wastes","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Hazardous wastes","C&D","Landfill","Disposal","39820.8357522459","Core waste"
"2017-2018","SA","Hazardous wastes","C&D","Other disposal","Disposal","0.00974974279430355","Core waste"
"2017-2018","SA","Hazardous wastes","C&D","Recycling","Recycling","157052.027571372","Core waste"
"2017-2018","SA","Hazardous wastes","C&D","Treatment","Disposal","14932.2607548605","Core waste"
"2017-2018","SA","Hazardous wastes","C&D","Treatment","Energy recovery","0","Core waste"
"2017-2018","SA","Hazardous wastes","C&D","Treatment","Recycling","57847.0880421781","Core waste"
"2017-2018","SA","Hazardous wastes","C&I","Energy from waste facility","Energy recovery","12650.2517631947","Core waste"
"2017-2018","SA","Hazardous wastes","C&I","Landfill","Disposal","63381.269712702","Core waste"
"2017-2018","SA","Hazardous wastes","C&I","Other disposal","Disposal","4405.29454899899","Core waste"
"2017-2018","SA","Hazardous wastes","C&I","Recycling","Recycling","144003.677084627","Core waste"
"2017-2018","SA","Hazardous wastes","C&I","Treatment","Disposal","30873.2164388398","Core waste"
"2017-2018","SA","Hazardous wastes","C&I","Treatment","Energy recovery","6264.81645167002","Core waste"
"2017-2018","SA","Hazardous wastes","C&I","Treatment","Recycling","51301.3780626124","Core waste"
"2017-2018","SA","Metals","C&D","Landfill","Disposal","4505","Core waste"
"2017-2018","SA","Metals","C&D","Recycling","Recycling","54092","Core waste"
"2017-2018","SA","Metals","C&I","Landfill","Disposal","3120","Core waste"
"2017-2018","SA","Metals","C&I","Recycling","Recycling","210507","Core waste"
"2017-2018","SA","Metals","MSW","Landfill","Disposal","17291","Core waste"
"2017-2018","SA","Metals","MSW","Recycling","Recycling","67624","Core waste"
"2017-2018","SA","Organics","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Organics","C&D","Landfill","Disposal","37419","Core waste"
"2017-2018","SA","Organics","C&D","Landfill","Energy recovery","2543","Core waste"
"2017-2018","SA","Organics","C&D","Recycling","Recycling","34877","Core waste"
"2017-2018","SA","Organics","C&I","Energy from waste facility","Energy recovery","79515","Core waste"
"2017-2018","SA","Organics","C&I","Landfill","Disposal","61699","Core waste"
"2017-2018","SA","Organics","C&I","Landfill","Energy recovery","19747","Core waste"
"2017-2018","SA","Organics","C&I","Recycling","Recycling","767488","Core waste"
"2017-2018","SA","Organics","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Organics","MSW","Landfill","Disposal","171502","Core waste"
"2017-2018","SA","Organics","MSW","Landfill","Energy recovery","61961","Core waste"
"2017-2018","SA","Organics","MSW","Recycling","Recycling","190950","Core waste"
"2017-2018","SA","Paper & cardboard","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Paper & cardboard","C&D","Landfill","Disposal","1780","Core waste"
"2017-2018","SA","Paper & cardboard","C&D","Landfill","Energy recovery","389","Core waste"
"2017-2018","SA","Paper & cardboard","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","SA","Paper & cardboard","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Paper & cardboard","C&I","Landfill","Disposal","24326","Core waste"
"2017-2018","SA","Paper & cardboard","C&I","Landfill","Energy recovery","5312","Core waste"
"2017-2018","SA","Paper & cardboard","C&I","Recycling","Recycling","146089","Core waste"
"2017-2018","SA","Paper & cardboard","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Paper & cardboard","MSW","Landfill","Disposal","40969","Core waste"
"2017-2018","SA","Paper & cardboard","MSW","Landfill","Energy recovery","8946","Core waste"
"2017-2018","SA","Paper & cardboard","MSW","Recycling","Recycling","90014","Core waste"
"2017-2018","SA","Plastics","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Plastics","C&D","Landfill","Disposal","3170","Core waste"
"2017-2018","SA","Plastics","C&D","Landfill","Energy recovery","0","Core waste"
"2017-2018","SA","Plastics","C&D","Recycling","Recycling","3421","Core waste"
"2017-2018","SA","Plastics","C&I","Energy from waste facility","Energy recovery","4185","Core waste"
"2017-2018","SA","Plastics","C&I","Landfill","Disposal","19314","Core waste"
"2017-2018","SA","Plastics","C&I","Landfill","Energy recovery","0","Core waste"
"2017-2018","SA","Plastics","C&I","Recycling","Recycling","8827","Core waste"
"2017-2018","SA","Plastics","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Plastics","MSW","Landfill","Disposal","30858","Core waste"
"2017-2018","SA","Plastics","MSW","Landfill","Energy recovery","0","Core waste"
"2017-2018","SA","Plastics","MSW","Recycling","Recycling","13265","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Disposal","3306","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Energy recovery","740","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Disposal","6516","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Energy recovery","1458","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","C&I","Recycling","Recycling","23142","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Disposal","11352","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Energy recovery","2541","Core waste"
"2017-2018","SA","Textiles, leather & rubber (excl. tyres)","MSW","Recycling","Recycling","2370","Core waste"
"2017-2018","SA","Unclassified materials","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Unclassified materials","C&D","Landfill","Disposal","42","Core waste"
"2017-2018","SA","Unclassified materials","C&D","Landfill","Energy recovery","0","Core waste"
"2017-2018","SA","Unclassified materials","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","SA","Unclassified materials","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Unclassified materials","C&I","Landfill","Disposal","88","Core waste"
"2017-2018","SA","Unclassified materials","C&I","Landfill","Energy recovery","0","Core waste"
"2017-2018","SA","Unclassified materials","C&I","Recycling","Recycling","1437","Core waste"
"2017-2018","SA","Unclassified materials","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","SA","Unclassified materials","MSW","Landfill","Disposal","11455","Core waste"
"2017-2018","SA","Unclassified materials","MSW","Landfill","Energy recovery","0","Core waste"
"2017-2018","SA","Unclassified materials","MSW","Recycling","Recycling","3053","Core waste"
"2017-2018","Tas","Biosolids","C&I","Other disposal","Disposal","0","Core waste"
"2017-2018","Tas","Biosolids","C&I","Recycling","Recycling","33061.4285714286","Core waste"
"2017-2018","Tas","Building and demolition materials","C&D","Landfill","Disposal","27678","Core waste"
"2017-2018","Tas","Building and demolition materials","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","Tas","Building and demolition materials","C&I","Landfill","Disposal","29005","Core waste"
"2017-2018","Tas","Building and demolition materials","C&I","Recycling","Recycling","1813","Core waste"
"2017-2018","Tas","Building and demolition materials","MSW","Landfill","Disposal","7165","Core waste"
"2017-2018","Tas","Building and demolition materials","MSW","Recycling","Recycling","0","Core waste"
"2017-2018","Tas","Glass","C&D","Landfill","Disposal","22","Core waste"
"2017-2018","Tas","Glass","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","Tas","Glass","C&I","Landfill","Disposal","5000","Core waste"
"2017-2018","Tas","Glass","C&I","Recycling","Recycling","1344","Core waste"
"2017-2018","Tas","Glass","MSW","Landfill","Disposal","9016","Core waste"
"2017-2018","Tas","Glass","MSW","Recycling","Recycling","15317","Core waste"
"2017-2018","Tas","Hazardous wastes","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Hazardous wastes","C&D","Landfill","Disposal","11297.2877817522","Core waste"
"2017-2018","Tas","Hazardous wastes","C&D","Other disposal","Disposal","0.0732594600516512","Core waste"
"2017-2018","Tas","Hazardous wastes","C&D","Recycling","Recycling","74.1634781447474","Core waste"
"2017-2018","Tas","Hazardous wastes","C&D","Treatment","Disposal","104.20072667215","Core waste"
"2017-2018","Tas","Hazardous wastes","C&D","Treatment","Energy recovery","0","Core waste"
"2017-2018","Tas","Hazardous wastes","C&D","Treatment","Recycling","408.171753970815","Core waste"
"2017-2018","Tas","Hazardous wastes","C&I","Energy from waste facility","Energy recovery","3096.11618743809","Core waste"
"2017-2018","Tas","Hazardous wastes","C&I","Landfill","Disposal","22589.1711374709","Core waste"
"2017-2018","Tas","Hazardous wastes","C&I","Other disposal","Disposal","108.139028061635","Core waste"
"2017-2018","Tas","Hazardous wastes","C&I","Recycling","Recycling","165679.915540366","Core waste"
"2017-2018","Tas","Hazardous wastes","C&I","Treatment","Disposal","5841.95593321791","Core waste"
"2017-2018","Tas","Hazardous wastes","C&I","Treatment","Energy recovery","15.4350709970102","Core waste"
"2017-2018","Tas","Hazardous wastes","C&I","Treatment","Recycling","45524.3510666561","Core waste"
"2017-2018","Tas","Metals","C&D","Landfill","Disposal","245","Core waste"
"2017-2018","Tas","Metals","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","Tas","Metals","C&I","Landfill","Disposal","7618","Core waste"
"2017-2018","Tas","Metals","C&I","Recycling","Recycling","7221","Core waste"
"2017-2018","Tas","Metals","MSW","Landfill","Disposal","7403","Core waste"
"2017-2018","Tas","Metals","MSW","Recycling","Recycling","1425","Core waste"
"2017-2018","Tas","Organics","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Organics","C&D","Landfill","Disposal","2424","Core waste"
"2017-2018","Tas","Organics","C&D","Landfill","Energy recovery","139","Core waste"
"2017-2018","Tas","Organics","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","Tas","Organics","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Organics","C&I","Landfill","Disposal","76649","Core waste"
"2017-2018","Tas","Organics","C&I","Landfill","Energy recovery","14170","Core waste"
"2017-2018","Tas","Organics","C&I","Recycling","Recycling","3394","Core waste"
"2017-2018","Tas","Organics","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Organics","MSW","Landfill","Disposal","80780","Core waste"
"2017-2018","Tas","Organics","MSW","Landfill","Energy recovery","19588","Core waste"
"2017-2018","Tas","Organics","MSW","Recycling","Recycling","9753","Core waste"
"2017-2018","Tas","Paper & cardboard","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Paper & cardboard","C&D","Landfill","Disposal","829","Core waste"
"2017-2018","Tas","Paper & cardboard","C&D","Landfill","Energy recovery","132","Core waste"
"2017-2018","Tas","Paper & cardboard","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","Tas","Paper & cardboard","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Paper & cardboard","C&I","Landfill","Disposal","30733","Core waste"
"2017-2018","Tas","Paper & cardboard","C&I","Landfill","Energy recovery","4905","Core waste"
"2017-2018","Tas","Paper & cardboard","C&I","Recycling","Recycling","22830","Core waste"
"2017-2018","Tas","Paper & cardboard","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Paper & cardboard","MSW","Landfill","Disposal","19915","Core waste"
"2017-2018","Tas","Paper & cardboard","MSW","Landfill","Energy recovery","3179","Core waste"
"2017-2018","Tas","Paper & cardboard","MSW","Recycling","Recycling","27012","Core waste"
"2017-2018","Tas","Plastics","C&D","Landfill","Disposal","566","Core waste"
"2017-2018","Tas","Plastics","C&D","Recycling","Recycling","19","Core waste"
"2017-2018","Tas","Plastics","C&I","Landfill","Disposal","44598","Core waste"
"2017-2018","Tas","Plastics","C&I","Recycling","Recycling","2290","Core waste"
"2017-2018","Tas","Plastics","MSW","Landfill","Disposal","26156","Core waste"
"2017-2018","Tas","Plastics","MSW","Recycling","Recycling","453","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Disposal","0","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Energy recovery","0","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Disposal","14822","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Energy recovery","2422","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","C&I","Recycling","Recycling","324","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Disposal","3817","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Energy recovery","624","Core waste"
"2017-2018","Tas","Textiles, leather & rubber (excl. tyres)","MSW","Recycling","Recycling","0","Core waste"
"2017-2018","Tas","Unclassified materials","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Unclassified materials","C&D","Landfill","Disposal","0","Core waste"
"2017-2018","Tas","Unclassified materials","C&D","Landfill","Energy recovery","0","Core waste"
"2017-2018","Tas","Unclassified materials","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Unclassified materials","C&I","Landfill","Disposal","0","Core waste"
"2017-2018","Tas","Unclassified materials","C&I","Landfill","Energy recovery","0","Core waste"
"2017-2018","Tas","Unclassified materials","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Tas","Unclassified materials","MSW","Landfill","Disposal","0","Core waste"
"2017-2018","Tas","Unclassified materials","MSW","Landfill","Energy recovery","0","Core waste"
"2017-2018","Vic","Ash","C&I","Other disposal","Long-term storage","864648.315510875","Non-core waste"
"2017-2018","Vic","Ash","C&I","Recycling","Recycling","0","Non-core waste"
"2017-2018","Vic","Biosolids","C&I","Other disposal","Disposal","15221.9047619048","Core waste"
"2017-2018","Vic","Biosolids","C&I","Recycling","Recycling","482301.904761905","Core waste"
"2017-2018","Vic","Building and demolition materials","C&D","Landfill","Disposal","761445","Core waste"
"2017-2018","Vic","Building and demolition materials","C&D","Recycling","Recycling","5446263","Core waste"
"2017-2018","Vic","Building and demolition materials","C&I","Landfill","Disposal","240801","Core waste"
"2017-2018","Vic","Building and demolition materials","C&I","Recycling","Recycling","60386","Core waste"
"2017-2018","Vic","Building and demolition materials","MSW","Landfill","Disposal","86317","Core waste"
"2017-2018","Vic","Building and demolition materials","MSW","Recycling","Recycling","560","Core waste"
"2017-2018","Vic","Glass","C&D","Landfill","Disposal","2206","Core waste"
"2017-2018","Vic","Glass","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","Vic","Glass","C&I","Landfill","Disposal","42661","Core waste"
"2017-2018","Vic","Glass","C&I","Recycling","Recycling","612","Core waste"
"2017-2018","Vic","Glass","MSW","Landfill","Disposal","50491","Core waste"
"2017-2018","Vic","Glass","MSW","Recycling","Recycling","229385","Core waste"
"2017-2018","Vic","Hazardous wastes","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Vic","Hazardous wastes","C&D","Landfill","Disposal","562739.490722419","Core waste"
"2017-2018","Vic","Hazardous wastes","C&D","Other disposal","Disposal","0.145454190939748","Core waste"
"2017-2018","Vic","Hazardous wastes","C&D","Recycling","Recycling","11677.9802459504","Core waste"
"2017-2018","Vic","Hazardous wastes","C&D","Treatment","Disposal","11539.7257781221","Core waste"
"2017-2018","Vic","Hazardous wastes","C&D","Treatment","Energy recovery","0","Core waste"
"2017-2018","Vic","Hazardous wastes","C&D","Treatment","Recycling","45918.5429193206","Core waste"
"2017-2018","Vic","Hazardous wastes","C&I","Energy from waste facility","Energy recovery","48800.4095579636","Core waste"
"2017-2018","Vic","Hazardous wastes","C&I","Landfill","Disposal","319294.807796677","Core waste"
"2017-2018","Vic","Hazardous wastes","C&I","Other disposal","Disposal","5973.43637526109","Core waste"
"2017-2018","Vic","Hazardous wastes","C&I","Recycling","Recycling","323420.329665078","Core waste"
"2017-2018","Vic","Hazardous wastes","C&I","Treatment","Disposal","71629.690713194","Core waste"
"2017-2018","Vic","Hazardous wastes","C&I","Treatment","Energy recovery","4080.23677796265","Core waste"
"2017-2018","Vic","Hazardous wastes","C&I","Treatment","Recycling","95251.549817055","Core waste"
"2017-2018","Vic","Metals","C&D","Landfill","Disposal","19085","Core waste"
"2017-2018","Vic","Metals","C&D","Recycling","Recycling","168081","Core waste"
"2017-2018","Vic","Metals","C&I","Landfill","Disposal","85647","Core waste"
"2017-2018","Vic","Metals","C&I","Recycling","Recycling","929633","Core waste"
"2017-2018","Vic","Metals","MSW","Landfill","Disposal","44407","Core waste"
"2017-2018","Vic","Metals","MSW","Recycling","Recycling","357865","Core waste"
"2017-2018","Vic","Organics","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Vic","Organics","C&D","Landfill","Disposal","124615","Core waste"
"2017-2018","Vic","Organics","C&D","Landfill","Energy recovery","10452","Core waste"
"2017-2018","Vic","Organics","C&D","Recycling","Recycling","48045","Core waste"
"2017-2018","Vic","Organics","C&I","Anaerobic digestion","Recycling","18000","Core waste"
"2017-2018","Vic","Organics","C&I","Energy from waste facility","Energy recovery","25000","Core waste"
"2017-2018","Vic","Organics","C&I","Landfill","Disposal","541938","Core waste"
"2017-2018","Vic","Organics","C&I","Landfill","Energy recovery","146648","Core waste"
"2017-2018","Vic","Organics","C&I","Recycling","Recycling","650063","Core waste"
"2017-2018","Vic","Organics","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Vic","Organics","MSW","Landfill","Disposal","663555","Core waste"
"2017-2018","Vic","Organics","MSW","Landfill","Energy recovery","324583","Core waste"
"2017-2018","Vic","Organics","MSW","Recycling","Recycling","390097","Core waste"
"2017-2018","Vic","Paper & cardboard","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Vic","Paper & cardboard","C&D","Landfill","Disposal","6010","Core waste"
"2017-2018","Vic","Paper & cardboard","C&D","Landfill","Energy recovery","1686","Core waste"
"2017-2018","Vic","Paper & cardboard","C&D","Recycling","Recycling","171","Core waste"
"2017-2018","Vic","Paper & cardboard","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Vic","Paper & cardboard","C&I","Landfill","Disposal","256577","Core waste"
"2017-2018","Vic","Paper & cardboard","C&I","Landfill","Energy recovery","71994","Core waste"
"2017-2018","Vic","Paper & cardboard","C&I","Recycling","Recycling","1378409","Core waste"
"2017-2018","Vic","Paper & cardboard","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Vic","Paper & cardboard","MSW","Landfill","Disposal","199642","Core waste"
"2017-2018","Vic","Paper & cardboard","MSW","Landfill","Energy recovery","56018","Core waste"
"2017-2018","Vic","Paper & cardboard","MSW","Recycling","Recycling","102437","Core waste"
"2017-2018","Vic","Plastics","C&D","Landfill","Disposal","17260","Core waste"
"2017-2018","Vic","Plastics","C&D","Recycling","Recycling","1981","Core waste"
"2017-2018","Vic","Plastics","C&I","Landfill","Disposal","271881","Core waste"
"2017-2018","Vic","Plastics","C&I","Recycling","Recycling","55980","Core waste"
"2017-2018","Vic","Plastics","MSW","Landfill","Disposal","227907","Core waste"
"2017-2018","Vic","Plastics","MSW","Recycling","Recycling","79207","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Disposal","7930","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Energy recovery","2283","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","C&D","Recycling","Recycling","0","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","C&I","Energy from waste facility","Energy recovery","5000","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Disposal","92517","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Energy recovery","26642","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","C&I","Recycling","Recycling","17525","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Disposal","58057","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Energy recovery","16719","Core waste"
"2017-2018","Vic","Textiles, leather & rubber (excl. tyres)","MSW","Recycling","Recycling","4790","Core waste"
