Year,Jurisdiction,Category,Stream,Management,Fate,Tonnes,Core or non-core
"2020-2021","ACT","Plastics","C&D","Recycling","Recycling","40.5785269563682","Core waste"
"2020-2021","ACT","Plastics","C&I","Landfill","Disposal","7881.3892928501","Core waste"
"2020-2021","ACT","Plastics","C&I","Recycling","Recycling","796.721987319185","Core waste"
"2020-2021","ACT","Plastics","MSW","Landfill","Disposal","14983.2973717204","Core waste"
"2020-2021","ACT","Plastics","MSW","Recycling","Recycling","4079.18876122241","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Disposal","383.048963095491","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Energy recovery","154.435480923519","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","C&D","Recycling","Recycling","0","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Disposal","4925.33397038599","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","C&I","Landfill","Energy recovery","1985.76786183828","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","C&I","Recycling","Recycling","0","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Disposal","4962.17119124384","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","MSW","Landfill","Energy recovery","2000.61968097152","Core waste"
"2020-2021","ACT","Textiles, leather & rubber (excl. tyres)","MSW","Recycling","Recycling","0","Core waste"
"2020-2021","ACT","Unclassified materials","C&D","Landfill","Disposal","1477.48501611448","Core waste"
"2020-2021","ACT","Unclassified materials","C&D","Recycling","Recycling","0","Core waste"
"2020-2021","ACT","Unclassified materials","C&I","Landfill","Disposal","7498.74071682865","Core waste"
"2020-2021","ACT","Unclassified materials","C&I","Recycling","Recycling","5.9653275979668","Core waste"
"2020-2021","ACT","Unclassified materials","C&I","Waste reuse","Waste reuse","8945.45","Core waste"
"2020-2021","ACT","Unclassified materials","MSW","Landfill","Disposal","4079.76027668869","Core waste"
"2020-2021","ACT","Unclassified materials","MSW","Recycling","Recycling","22.050469825581","Core waste"
"2020-2021","ACT","Unclassified materials","MSW","Waste reuse","Waste reuse","6863","Core waste"
"2020-2021","NSW","Ash","C&I","Other disposal","Long-term storage","1270634.00686875","Non-core waste"
"2020-2021","NSW","Ash","C&I","Recycling","Recycling","1918785.28715353","Non-core waste"
"2020-2021","NSW","Ash","C&I","Waste reuse","Waste reuse","2450000","Non-core waste"
"2020-2021","NSW","Biosolids","C&I","Other disposal","Disposal","0","Core waste"
"2020-2021","NSW","Biosolids","C&I","Recycling","Recycling","352084.416892346","Core waste"
"2020-2021","NSW","Building and demolition materials","C&D","Landfill","Disposal","1295222.90628894","Core waste"
"2020-2021","NSW","Building and demolition materials","C&D","Recycling","Recycling","6495852.77437839","Core waste"
"2020-2021","NSW","Building and demolition materials","C&I","Landfill","Disposal","278736.216033242","Core waste"
"2020-2021","NSW","Building and demolition materials","C&I","Recycling","Recycling","712.714967042795","Core waste"
"2020-2021","NSW","Building and demolition materials","MSW","Landfill","Disposal","86173.9968065642","Core waste"
"2020-2021","NSW","Building and demolition materials","MSW","Recycling","Recycling","168.338137998579","Core waste"
"2020-2021","NSW","Glass","C&D","Landfill","Disposal","0","Core waste"
"2020-2021","NSW","Glass","C&D","Recycling","Recycling","1194.05575373947","Core waste"
"2020-2021","NSW","Glass","C&I","Landfill","Disposal","38048.0847301931","Core waste"
"2020-2021","NSW","Glass","C&I","Recycling","Recycling","72542.9367481374","Core waste"
"2020-2021","NSW","Glass","MSW","Landfill","Disposal","130942.749085135","Core waste"
"2020-2021","NSW","Glass","MSW","Recycling","Recycling","239022.323355552","Core waste"
"2020-2021","NSW","Hazardous wastes","C&D","Energy from waste facility","Energy recovery","0","Core waste"
